Name,Location,Purpose,Additional Information
varlogs,/opt/omnia/log/*log,Var Log,This log is configured by default.
Omnia logs,/opt/omnia/log/core/playbooks/omnia.log,Omnia logs,"This log is configured by Default. This log can be used to track all changes made by all playbooks in the omnia directory.

.. Note:: User can view the combined logs for ``discovery_provision.yml`` and ``omnia.yml`` execution in ``omnia.log`` file."
accelerator logs,/opt/omnia/log/core/playbooks/accelerator.log,Accelerator logs,This log is configured by default.
discovery logs,/opt/omnia/log/core/playbooks/discovery.log,Discovery logs,This log is configured by default.
local_repo log,/opt/omnia/log/core/playbooks/local_repo.log,Local Repository logs,This log is configured by default.
network logs,/opt/omnia/log/core/playbooks/network.log,Network Logs,This log is configured by default.
prepre_oim log,/opt/omnia/log/core/playbooks/prepare_oim.log,Prepare OIM Logs,This log is configured by default.
provision logs,/opt/omnia/log/core/playbooks/provision.log,Provision Logs,This log is configured by default.
scheduler logs,/opt/omnia/log/core/playbooks/scheduler.log,Scheduler Logs,This log is configured by default.
security logs,/opt/omnia/log/core/playbooks/security.log,Security Logs,This log is configured by default.
storage logs,/opt/omnia/log/core/playbooks/storage.log,Storage Logs,This log is configured by default.
server_spec_update logs,/opt/omnia/log/core/playbooks/server_spec_update.log,Server specification update logs,This log is configured by default.
telemetry logs,/opt/omnia/log/core/playbooks/telemetry.log,Telemetry logs,This log is configured by default.
tools logs,/opt/omnia/log/core/playbooks/tools.log,Tool logs,This log is configured by default.
utils logs,/opt/omnia/log/core/playbooks/utils.log,Utility logs,This log is configured by default.
credential utility logs,/opt/omnia/log/core/playbooks/credential_utility.log,Credential utility logs,This log is configured by default.
software_update logs,/opt/omnia/log/core/playbooks/software_update.log,Software update logs,This log is configured by default.
benchmarks log messages,/opt/omnia/log/core/playbooks/benchmarks.log,Benchmark log  messages,This log is configured by default.
Cluster Provisioning Logs,/opt/omnia/log/provision/xcat/*log,Cluster provisioning logs,This log is configured by default.
PCS container - pacemaker logs,/opt/omnia/log/pcs/pacemaker/*log,PCS container - pacemaker logs,This log is configured by default.
PCS container - corosync logs,/opt/omnia/log/pcs/corosync/*log,PCS container - corosync logs,This log is configured by default.
iDRAC Telemetry - activemq container logs,/opt/omnia/log/telemetry/activemq/*log,iDRAC Telemetry - activemq container logs,This log is configured by default.
iDRAC Telemetry - mysqldb container logs,/opt/omnia/log/telemetry/mysqldb/*log,iDRAC Telemetry - mysqldb container logs,This log is configured by default.
iDRAC Telemetry - idrac_telemetry_receiver container logs,/opt/omnia/log/telemetry/idrac_telemetry_receiver/*log,iDRAC Telemetry - idrac_telemetry_receiver container logs,This log is configured by default.
Telemetry - prometheus container logs,/opt/omnia/log/telemetry/prometheus/*log,Telemetry - prometheus container logs,This log is configured by default.
Visualization - grafana container logs,/opt/omnia/log/telemetry/grafana/*log,Visualization - grafana container logs,This log is configured by default.
Pulp container logs,/opt/omnia/log/pulp/*log,Pulp container logs,This log is configured by default.
Local repo logs, /opt/omnia/log/local_repo/*log,Local repo logs,This log is configured by default.
Kubespray logs,/opt/omnia/log/kubespray/*log,Kubespray logs,This log is configured by default.
Core container logs,/opt/omnia/log/core/container/*log,Core container logs,This log is configured by default.
squid logs,/opt/omnia/log/squid/*log,SQUID logs,This log is configured by default.
Omnia input validation report logs,/opt/omnia/log/core/playbooks/validation_omnia_project_default.log,Omnia input validation report logs,This log is configured by default.
Omnia input validation playbook logs,/opt/omnia/log/core/playbooks/input_validation.log,Omnia input validation playbook logs,This log is configured by default.
Service nodes pacemaker logs,/opt/omnia/service_nodes/*/log/pcs/pacemaker/*log,Service nodes pacemaker logs,This log is configured by default.
Service nodes corosync logs,/opt/omnia/service_nodes/*/log/pcs/corosync/*log,Service nodes corosync logs,This log is configured by default.
Service nodes iDRAC Telemetry - activemq container logs,/opt/omnia/service_nodes/*/log/telemetry/activemq/*log,Service nodes iDRAC Telemetry - activemq container logs,This log is configured by default.
Service nodes iDRAC Telemetry - mysqldb container logs,/opt/omnia/service_nodes/*/log/telemetry/mysqldb/*log,Service nodes iDRAC Telemetry - mysqldb container logs,This log is configured by default.
Service nodes iDRAC Telemetry - idrac_telemetry_receiver container logs,/opt/omnia/service_nodes/*/log/telemetry/idrac_telemetry_receiver/*log,Service nodes iDRAC Telemetry - iDRAC telemetry receiver container logs,This log is configured by default.
Service nodes Telemetry - prometheus container logs,/opt/omnia/service_nodes/*/log/telemetry/prometheus/*lo,Service nodes Telemetry - Prometheus container logs,This log is configured by default.
